id,name,category,series,image,description
1,Funko Pop Naruto Uzumaki,funko,Naruto,naruto.jpg,Naruto in classic outfit with kunai
2,Funko Pop Sasuke Uchiha,funko,Naruto,sasuke.jpg,Sasuke with Sharingan and sword
3,Funko Pop Kakashi Hatake,funko,Naruto,kakashi.jpg,Kakashi with Lightning Blade pose
4,Funko Pop Sakura Haruno,funko,Naruto,sakura.jpg,Sakura in ninja outfit ready to punch
5,Funko Pop Kurama,funko,Naruto,kurama.jpg,6 Paths Kurama with glowing eyes
6,Funko Pop Itachi Uchiha,funko,Naruto,itachi.jpg,Itachi with Akatsuki cloak and crows
7,Funko Pop Gaara,funko,Naruto,gaara.jpg,Gaara with sand gourd
8,Funko Pop Rock Lee,funko,Naruto,rocklee.jpg,Rock Lee in fighting stance
9,Funko Pop Ichigo Kurosaki,funko,Bleach,ichigo.jpg,Ichigo in Bankai form with sword
10,Funko Pop Renji Abarai,funko,Bleach,renji.jpg,Renji with Zabimaru sword
11,Funko Pop Rukia Kuchiki,funko,Bleach,rukia.jpg,Rukia in Soul Reaper outfit
12,Funko Pop Grimmjow Jaegerjaquez,funko,Bleach,grimmjow.jpg,Grimmjow in Arrancar uniform
13,Funko Pop Toshiro Hitsugaya,funko,Bleach,toshiro.jpg,Toshiro with Hyorinmaru sword
14,Funko Pop Monkey D. Luffy,funko,One Piece,luffy.jpg,Luffy with Straw Hat and pose
15,Funko Pop Roronoa Zoro,funko,One Piece,zoro.jpg,Zoro with swords and green hair
16,Funko Pop Sanji,funko,One Piece,sanji.jpg,Sanji with cigarette and fiery leg
17,Funko Pop Portgas D. Ace,funko,One Piece,ace.jpg,Ace with flame effects
18,Funko Pop Nico Robin,funko,One Piece,nico.jpg,Nico Robin in black outfit
19,Funko Pop Trafalgar Law,funko,One Piece,law.jpg,Law with sword and hat
20,Funko Pop Tony Tony Chopper,funko,One Piece,chopper.jpg,Chopper with blue hat
21,Funko Pop Brook,funko,One Piece,brook.jpg,Brook with afro and cane
22,Funko Pop Izuku Midoriya,funko,My Hero Academia,deku.jpg,Deku in hero costume with green hair
23,Funko Pop Katsuki Bakugo,funko,My Hero Academia,bakugo.jpg,Bakugo with explosion pose
24,Funko Pop Shoto Todoroki,funko,My Hero Academia,todoroki.jpg,Todoroki with fire and ice
25,Funko Pop All Might,funko,My Hero Academia,allmight.jpg,All Might in hero pose
26,Funko Pop Ochaco Uraraka,funko,My Hero Academia,ochaco.jpg,Ochaco in pink hero suit
27,Funko Pop Endeavor,funko,My Hero Academia,endeavor.jpg,Endeavor with flame effects
28,Funko Pop Tenya Iida,funko,My Hero Academia,tenya.jpg,Tenya in hero costume with engines
29,Funko Pop Goku,funko,Dragon Ball,goku.jpg,Super Saiyan Goku with yellow hair
30,Funko Pop Vegeta,funko,Dragon Ball,vegeta.jpg,Vegeta with Final Flash pose
31,Funko Pop Gohan,funko,Dragon Ball,gohan.jpg,Teen Gohan with energy blast
32,Funko Pop Piccolo,funko,Dragon Ball,piccolo.jpg,Piccolo with turban and cape
33,Funko Pop Trunks,funko,Dragon Ball,trunks.jpg,Trunks with sword drawn
34,Funko Pop Beerus,funko,Dragon Ball,beerus.jpg,Beerus with sassy pose
35,Funko Pop Majin Buu,funko,Dragon Ball,buu.jpg,Majin Buu with pink candy form
36,Funko Pop Frieza,funko,Dragon Ball,frieza.jpg,Frieza in Final Form with tail
37,Funko Pop Sailor Moon,funko,Sailor Moon,sailormoon.jpg,Sailor Moon with Moon Stick
38,Funko Pop Sailor Mercury,funko,Sailor Moon,mercury.jpg,Sailor Mercury in blue outfit
39,Funko Pop Sailor Mars,funko,Sailor Moon,mars.jpg,Sailor Mars in red outfit
40,Funko Pop Luna,funko,Sailor Moon,luna.jpg,Luna the black cat with crescent moon
